Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Alessia Fornoni,NephCure Kidney International,"Chair, Scientific Advisory Board",Research & Education Leadership,2022,Present,https://www.asn-online.org/about/bio.aspx?ID=900992&title=Councilor
Alexander Krupnick,University of Maryland School of Medicine,"Chief, Division of Thoracic Surgery",Executive Leadership,2021,Present,https://www.ctsnet.org/home/askrupnick
Alexander Krupnick,University of Maryland Medical System,"Surgical Director, Lung Transplant Program",Executive Leadership,2020,Present,https://www.umms.org/find-a-doctor/profiles/dr-alexander-sasha-krupnick-md-1437175668
Alexander Krupnick,University of Maryland Department of Surgery,Vice Chairman for Academic Affairs,Executive Leadership,Not specified,Present,https://www.ctsnet.org/home/askrupnick
Alexander Krupnick,University of Virginia Department of Surgery,Vice Chairman for Research,Executive Leadership,2017,2020,https://www.ctsnet.org/home/askrupnick
Andrew Auerbach,Journal of Hospital Medicine,Editor-in-Chief,Research & Education Leadership,2012,Not specified,https://www.hospitalmedicine.org/news-publications/press-releases/andrew-auerbach-md-mph-sfhm-and-vineet-arora-md-mpp-fhm-elected-to-american-society-for-clinical-investigation-class-of-2017/
Andrew Auerbach,UCSF Division of Hospital Medicine,Director of Research,Executive Leadership,Not specified,Present,https://www.hospitalmedicine.org/news-publications/press-releases/andrew-auerbach-md-mph-sfhm-and-vineet-arora-md-mpp-fhm-elected-to-american-society-for-clinical-investigation-class-of-2017/
Andrew Auerbach,Hospital Medicine Reengineering Network (HOMERuN),Co-Founder,Executive Leadership,2011,Present,https://hospitalinnovate.org/about-homerun/founding-members-2/
Andrew Auerbach,UpToDate,Editor-in-Chief (Hospital Medicine),Research & Education Leadership,Not specified,Present,https://ucsfhealthhospitalmedicine.ucsf.edu/people/andrew-auerbach
Anna Greka,Broad Institute of MIT and Harvard,"Member, Executive Leadership Team",Executive Leadership,Not specified,Present,https://www.broadinstitute.org/bios/anna-greka
Anna Greka,Broad Institute of MIT and Harvard,"Founding Director, Kidney Disease Initiative",Executive Leadership,2016,Present,https://rocketreach.co/anna-greka-email_7524503
Anna Greka,Brigham and Women's Hospital / Harvard Medical School,"Founding Director, Kidney-NExT",Executive Leadership,2014,Present,https://nephcure.org/researcher/anna-greka-m-d-ph-d/
Anna Greka,American Society for Clinical Investigation (ASCI),President,Research & Education Leadership,2025,2025,https://erictopol.substack.com/p/anna-greka-molecular-sleuthing-for
Anna Greka,Broad Institute of MIT and Harvard,"Leader, Center for Therapeutic Genetics",Executive Leadership,Not specified,Present,https://www.broadinstitute.org/bios/anna-greka
Anna Greka,Harvard-MIT MD-PhD Program,Leadership Council Member,Research & Education Leadership,Not specified,Present,https://nationalpress.org/speaker/anna-greka/
Bernhard Kühn,Weill Cornell Medicine / NewYork-Presbyterian Komansky Children's Hospital,"Chief, Division of Cardiology in Pediatrics",Executive Leadership,2024,Present,https://news.weill.cornell.edu/news/2024/01/dr-bernhard-k%C3%BChn-named-chief-of-the-division-of-cardiology-in-pediatrics-at-weill
Bernhard Kühn,Weill Cornell Medicine,"Director, Pediatric Institute for Heart Regeneration and Therapeutics (I-HRT)",Executive Leadership,2024,Present,https://news.weill.cornell.edu/news/2024/01/dr-bernhard-k%C3%BChn-named-chief-of-the-division-of-cardiology-in-pediatrics-at-weill
Bernhard Kühn,UPMC Children's Hospital of Pittsburgh,"Director, Pediatric Institute for Heart Regeneration and Therapeutics",Executive Leadership,Not specified,2024,https://pediatrics.weill.cornell.edu/news/dr-bernhard-k%C3%BChn-named-chief-division-cardiology-pediatrics-weill-cornell-medicine-and-newyork
Bernhard Kühn,UPMC Children's Hospital of Pittsburgh,"Associate Director, Richard King Mellon Foundation Institute for Pediatric Research",Executive Leadership,Not specified,2024,https://pediatrics.weill.cornell.edu/news/dr-bernhard-k%C3%BChn-named-chief-division-cardiology-pediatrics-weill-cornell-medicine-and-newyork
Bernhard Kühn,UPMC Children's Hospital of Pittsburgh,"Co-Director, Heart Institute",Executive Leadership,Not specified,2024,https://mirm-pitt.net/staff/bernhard-kuhn-md/
Beth Kirkpatrick,University of Vermont Vaccine Testing Center,Founding Director,Executive Leadership,2001,2025,https://www.uvm.edu/larnermed/bios/profile/beth-kirkpatrick
Beth Kirkpatrick,"University of Vermont, Department of Microbiology and Molecular Genetics",Chair,Executive Leadership,2018,Present,https://vermontbiz.com/people/february/kirkpatrick-appointed-uvm-chair-microbiology-molecular-genetics
Beth Kirkpatrick,UVM Translational Global Infectious Diseases Research (TGIR) COBRE Center,Principal Investigator,Research & Education Leadership,Not specified,Present,https://dengue-endgame.org/speakers/beth-kirkpatrick-md/
