Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Robert Eaton,Wasatch Endocrinology and Diabetes Specialists,President and Medical Director,Executive Leadership,2005,,https://www.fda.gov/media/135081/download
Robert Eaton,U.S. Army Research Institute of Environmental Medicine,Chief Medical Officer,Government & Policy Leadership,1990,1997,https://www.fda.gov/media/135081/download
Robert Eaton,"Office of the Surgeon General, U.S. Army",Environmental Medicine Consultant,Government & Policy Leadership,1991,1997,https://www.fda.gov/media/135081/download
Robert Eaton,Holtherics Inc.,Chief Operating Officer,Executive Leadership,2000,2001,https://www.fda.gov/media/135081/download
Ronald Rieder,"Mount Sinai School of Medicine, Department of Psychiatry",Vice Chair for Education and Director of Residency Training,Executive Leadership,2007,,https://peoplepill.com/i/ronald-rieder
Ronald Rieder,"Columbia University, Department of Psychiatry",Director of Residency Training,Executive Leadership,1979,2007,https://professorsemeritus.columbia.edu/people/ronald-o-rieder
Sanford Shattil,"Blood (journal, American Society of Hematology)",Editor-in-Chief,Research & Education Leadership,2003,2007,https://ashpublications.org/blood/pages/editorial_board
Sanford Shattil,"UC San Diego, Division of Hematology-Oncology",Chief,Executive Leadership,2004,2014,https://mednews.ucsd.edu/sanford-shattil-md-stepping-down-as-hematology-oncology-chief-remains-fellowship-program-director/
Sanford Shattil,"University of Pennsylvania, Division of Hematology-Oncology",Chief,Executive Leadership,,,https://www.pennmedicine.org/news/penn-hematology-oncology-enters-its-next-chapter
Stephen Baum,Albert Einstein College of Medicine,Senior Associate Dean for Student Affairs,Executive Leadership,2007,2016,http://www.einstein.yu.edu/features/stories/1180/dr--stephen-g--baum-an-einstein-alumnus-at-last!
Stephen Baum,Clinical Infectious Diseases (Oxford Academic),Editorial Board Member,Research & Education Leadership,,,https://academic.oup.com/cid/pages/Editorial_Board
Stephen Desiderio,Johns Hopkins Institute for Basic Biomedical Sciences,Director,Research & Education Leadership,,2018,https://www.hopkinsmedicine.org/news/newsroom/news-releases/2018/08/new-institute-director-at-johns-hopkins-coincides-with-big-bet-on-basic-science
Stephen Desiderio,"Johns Hopkins Institute for Cell Engineering, Immunobiology Program",Director,Research & Education Leadership,,,https://www.hopkinsmedicine.org/news/media/releases/five_johns_hopkins_researchers_elected_to_association_of_american_physicians
Stephen Desiderio,Maryland Life Sciences Advisory Board,Member (Governor-appointed),Government & Policy Leadership,2007,,https://www.hopkinsmedicine.org/news/media/releases/five_johns_hopkins_researchers_elected_to_association_of_american_physicians
Stephen Desiderio,Journal of Molecular Medicine,Editorial Board Member,Research & Education Leadership,,,https://www.hopkinsmedicine.org/news/media/releases/five_johns_hopkins_researchers_elected_to_association_of_american_physicians
Stephen Gottschalk,"St. Jude Children's Research Hospital, Department of Bone Marrow Transplantation and Cellular Therapy",Chair,Executive Leadership,2017,,https://www.stjude.org/media-resources/news-releases/2017-medicine-science-news/stephen-gottschalk-md-named-chair-of-the-department-of-bone-marrow-transplantation-and-cellular-therapy-at-st-jude.html
Sudhir Shah,"University of Arkansas for Medical Sciences (UAMS), Division of Nephrology",Director,Executive Leadership,1990,2015,https://medicine.uams.edu/internal-medicine/divisions/nephrology/faculty/sshah/
