Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Karl Bilimoria,Indiana University Health,Vice President for Surgical Quality,Executive Leadership,2022,Present,https://www.emedevents.com/speaker-profile/karl-y-bilimoria
Karl Bilimoria,Surgical Outcomes and Quality Improvement Center (SOQIC),Founding Executive Director,Executive Leadership,2011,Present,https://medicine.iu.edu/blogs/surgery/bilimoria-brings-energy-and-excitement-to-iu-surgery
Karl Bilimoria,Illinois Surgical Quality Improvement Collaborative (ISQIC),Founding Director,Executive Leadership,Not specified,Present,https://www.doximity.com/pub/karl-bilimoria-md
Karl Bilimoria,Association for Academic Surgery,Past President,Research & Education Leadership,Not specified,Not specified,https://www.doximity.com/pub/karl-bilimoria-md
Karl Bilimoria,Surgical Outcomes Club,Past President,Research & Education Leadership,Not specified,Not specified,https://cm.medicine.iu.edu/faculty/61686/bilimoria-karl
Keith Choate,Yale School of Medicine,"Chair, Department of Dermatology",Executive Leadership,2022,Present,https://medicine.yale.edu/news-article/keith-choate-md-04-phd-01-appointed-chairchief-of-dermatology/
Keith Choate,Yale New Haven Hospital,Chief of Dermatology,Executive Leadership,2022,Present,https://medicine.yale.edu/news-article/keith-choate-md-04-phd-01-appointed-chairchief-of-dermatology/
Keith Choate,Yale School of Medicine,Associate Dean for Physician-Scientist Development,Research & Education Leadership,Not specified,Present,https://medicine.yale.edu/profile/keith-choate/
Margaret Feeney,UCSF ImmunoX Initiative,Co-Project Leader,Research & Education Leadership,Not specified,Present,https://pscdp.ucsf.edu/content/margaret-feeney-md
Maximilian Diehn,"Stanford University School of Medicine, Department of Radiation Oncology","Division Chief, Radiation and Cancer Biology",Executive Leadership,Not specified,Present,https://radonc.stanford.edu/about.html
Maximilian Diehn,"Stanford University, Department of Radiation Oncology",Vice Chair of Research,Executive Leadership,Not specified,Present,https://foresight-dx.com/about/maximilian-diehn
Maximilian Diehn,Stanford Cancer Institute,"Co-Leader, Cancer Biology Program",Executive Leadership,Not specified,Present,https://en.wikipedia.org/wiki/Maximilian_Diehn
Maximilian Diehn,Foresight Diagnostics,Co-Founder & Board Member,Executive Leadership,2021,2025,https://en.wikipedia.org/wiki/Maximilian_Diehn
Peter Crompton,"National Institute of Allergy and Infectious Diseases (NIAID), NIH","Chief, Malaria Infection Biology and Immunity Section",Government & Policy Leadership,Not specified,Present,https://irp.nih.gov/pi/peter-crompton
