Name,Institution,Role,Leadership Type,Start Year,End Year,Source
Douglas Sawyer,MaineHealth,Chief Academic Officer,Executive Leadership,2019,Present,https://www.mainehealth.org/providers/douglas-b-sawyer-md
Douglas Sawyer,MaineHealth,Interim Chief Medical Officer,Executive Leadership,2021,2023,https://www.mainehealth.org/news/2023/05/mainehealth-names-colorado-physician-leader-role-chief-medical-and-transformation-officer
Douglas Sawyer,Tufts University School of Medicine (Maine Track Program),Academic Dean,Research & Education Leadership,2019,Present,https://www.mainehealth.org/providers/douglas-b-sawyer-md
Douglas Sawyer,MaineHealth Institute for Research,Interim VP of Research,Executive Leadership,Not specified,Present,https://mhir.org/about-us/leadership/leadership-doug-sawyer-md-phd/
Ganesh Raj,UT Southwestern - Harold C. Simmons Comprehensive Cancer Center,"Co-Leader, Experimental Therapeutics Program",Executive Leadership,Not specified,Not specified,https://physicianresources.utswmed.org/participant/ganesh-raj-md-phd
Ganesh Raj,EtiraRx (Etira),Founder & Chief Scientific Officer,Executive Leadership,2020,Present,https://www.crunchbase.com/person/ganesh-raj-md-ph-d
Joseph Goldstein,UT Southwestern Medical Center,"Chair, Department of Molecular Genetics",Executive Leadership,1977,Present,https://profiles.utsouthwestern.edu/profile/12645/joseph-goldstein.html
Joseph Goldstein,Regeneron Pharmaceuticals Inc.,Board Member,Executive Leadership,1991,Present,https://investor.regeneron.com/board-directors/joseph-goldstein
Joseph Goldstein,Albert Lasker Medical Research Awards Jury (Lasker Foundation),Chairman,Research & Education Leadership,1996,Present,https://www.nobelprize.org/prizes/medicine/1985/goldstein/biographical/
Joseph Goldstein,Howard Hughes Medical Institute,Board of Trustees Member,Research & Education Leadership,Not specified,Present,https://www.nobelprize.org/prizes/medicine/1985/goldstein/biographical/
Joseph Goldstein,The Rockefeller University,Board of Trustees Member,Research & Education Leadership,Not specified,Present,https://www.nobelprize.org/prizes/medicine/1985/goldstein/biographical/
Kenneth Mandl,Boston Children's Hospital,"Director, Computational Health Informatics Program",Executive Leadership,Not specified,Present,https://research.childrenshospital.org/researchers/kenneth-d-mandl
Kenneth Mandl,NIH National Library of Medicine,"Chair, Board of Scientific Counselors",Government & Policy Leadership,Not specified,Not specified,https://nam.edu/team/kenneth-d-mandl-md-mph/
Kenneth Mandl,U.S. Centers for Disease Control and Prevention (CDC),Advisor to the Director,Government & Policy Leadership,Not specified,Not specified,https://amia.org/membership/kenneth-mandl-md-mph
Kenneth Mandl,National Academy of Medicine Leadership Consortium,"Co-Chair, Digital Health and AI Action Collaborative",Research & Education Leadership,Not specified,Present,https://www.hdruk.ac.uk/people/ken-mandl/
Kenneth Mandl,"Health IT Advisory Committee (HITAC), U.S. HHS/ONC",Committee Member,Government & Policy Leadership,Not specified,Not specified,https://www.healthit.gov/hitac/member/ken-mandl
Margaret Koziel,Boston Pharmaceuticals,Chief Medical Officer,Executive Leadership,2024,Present,https://www.biospace.com/article/releases/boston-pharmaceuticals-appoints-dr-margaret-koziel-as-new-chief-medical-officer/
Margaret Koziel,"Innoviva Specialty Therapeutics, Inc.",Chief Medical Officer,Executive Leadership,Not specified,2024,https://www.businesswire.com/news/home/20231011609335/en/Innoviva-Specialty-Therapeutics-Presents-New-Data-on-its-Critical-Care-Antibiotic-Therapy-Portfolio-at-Infectious-Disease-Week-IDWeek-2023
Margaret Koziel,"Axcella Therapeutics, Inc.",Chief Medical Officer,Executive Leadership,2021,Not specified,https://www.biospace.com/axcella-therapeutics-promotes-margaret-koziel-m-d-to-chief-medical-officer
Margaret Koziel,University of Massachusetts Medical School,Assistant Vice Provost for Clinical Research,Research & Education Leadership,Not specified,Not specified,https://www.bostonpharmaceuticals.com/mgmt-margaret-koziel
William Tap,Memorial Sloan Kettering Cancer Center,"Chief, Sarcoma Medical Oncology Service",Executive Leadership,Not specified,Present,https://www.mskcc.org/departments/medicine
William Tap,Memorial Sloan Kettering Cancer Center - Sarcoma Center,Director,Executive Leadership,Not specified,Present,https://www.mskcc.org/research-programs/sarcoma-center-msk/sarcoma-center-leadership-and-executive-committee
William Tap,Connective Tissue Oncology Society (CTOS),Past President,Research & Education Leadership,Not specified,Not specified,https://csfshayna.org/sarcoma-oncologists/
William Tap,American Society of Clinical Oncology (ASCO),"Chair, Scientific Committee on Lymphoma & Myeloma",Research & Education Leadership,Not specified,Not specified,https://theorg.com/org/certis-oncology-solutions/org-chart/william-tap
Ash Alizadeh,Stanford Cancer Institute,"Leader, Cancer Genomics Program",Executive Leadership,Not specified,Present,https://foresight-dx.com/about/ash-alizadeh
Ash Alizadeh,American Society of Hematology (ASH) Meeting on Lymphoma Biology,Past President,Research & Education Leadership,Not specified,Not specified,https://stanfordhealthcare.org/doctors/a/arash-alizadeh.html
Ash Alizadeh,American Society of Hematology (ASH),"Past Chair, Scientific Committee on Genetics & Epigenetics",Research & Education Leadership,Not specified,Not specified,https://stanfordhealthcare.org/doctors/a/arash-alizadeh.html
Ash Alizadeh,American Society of Clinical Oncology (ASCO),"Past Chair, Scientific Committee on Lymphoma & Myeloma",Research & Education Leadership,2011,2014,https://profiles.stanford.edu/arash-alizadeh
Ash Alizadeh,NIH Center for Scientific Review,"Member, Cancer Genetics Study Section",Research & Education Leadership,Not specified,Present,https://profiles.stanford.edu/arash-alizadeh
Ash Alizadeh,Foresight Diagnostics,Chief Medical Advisor & Co-Founder,Executive Leadership,2020,2025,https://www.natera.com/company/news/natera-acquires-foresight-diagnostics/
Euan Ashley,Stanford University Department of Medicine,Chair,Executive Leadership,2024,Present,https://med.stanford.edu/news/all-news/2024/09/euan-ashley-chair.html
Euan Ashley,Stanford University,Associate Dean,Research & Education Leadership,2019,2024,https://finance.yahoo.com/news/dexcom-appoints-euan-ashley-board-201500388.html
Euan Ashley,Stanford Center for Inherited Cardiovascular Disease,Founding Director,Executive Leadership,2009,Present,https://stanfordhealthcare.org/doctors/a/euan-ashley.html
Euan Ashley,Stanford Clinical Genomics Program,Medical Director,Executive Leadership,2013,2020,https://cap.stanford.edu/profiles/frdActionServlet?choiceId=printerprofile&profileversion=full&profileId=7578
Euan Ashley,NIH Undiagnosed Diseases Network,Co-Chair,Government & Policy Leadership,2014,2017,https://cap.stanford.edu/profiles/frdActionServlet?choiceId=printerprofile&profileversion=full&profileId=7578
Euan Ashley,AstraZeneca,"Non-Executive Director & Chair, Board Science Committee",Executive Leadership,2020,Present,https://talent4boards.com/astrazeneca-appoints-dr-euan-ashley-to-its-board-as-non-executive-director/
Euan Ashley,"Dexcom, Inc.",Board Member,Executive Leadership,2025,Present,https://investors.dexcom.com/news/news-details/2025/Dexcom-Appoints-Euan-Ashley-to-Board-of-Directors/default.aspx
Euan Ashley,National Academy of Medicine - Roundtable on Translating Genomic-Based Research for Health,Member,Research & Education Leadership,2012,2015,https://cap.stanford.edu/profiles/frdActionServlet?choiceId=printerprofile&profileversion=full&profileId=7578
